Front	Gloss	Selmaho	Definition	Etymology	Example_1	Example_2	Related	Rafsi
sarlu	spiral	gismu	x<sub>1</sub> is a spiral/helix/whorl/[vortex] [shape/form] with limits x<sub>2</sub>, of dimensionality x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">laulab</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">spairl</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">espiral</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">sarpil</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">spiral</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">lue</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le calku be ti noi luska cu sarlu</span> - <span class="example-eng">The shell of this mollusk is spiral in form.</span>		<span class="lojban-word">korcu</span> (<span class="gloss">bent</span>), <span class="lojban-word">tarmi</span> (<span class="gloss">shape</span>)	<span class="rafsi">sarl</span>
ckape	peril	gismu	x<sub>1</sub> is perilous/dangerous/potentially harmful to x<sub>2</sub> under conditions x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">xatar</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">perl</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">peligr</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">katr</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">apasn</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cian</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">ka'e ckape le nu do kanro vau fa le nu do zukte le se stidi be la kevin</span> - <span class="example-eng">It can be dangerous for your health to do what Kevin suggested.</span>	<span class="example-jbo">do jai se ckape fai le ka co'a bilma</span> - <span class="example-eng">You are at risk of getting ill.</span>	<span class="lojban-word">te</span>, <span class="lojban-word">bandu</span> (<span class="gloss">defend</span>), <span class="lojban-word">te</span>, <span class="lojban-word">kajde</span> (<span class="gloss">warn</span>), <span class="lojban-word">te</span>, <span class="lojban-word">marbi</span> (<span class="gloss">shelter</span>), <span class="lojban-word">se</span>, <span class="lojban-word">snura</span> (<span class="gloss">safe</span>), <span class="lojban-word">se</span>, <span class="lojban-word">xalni</span> (<span class="gloss">panic</span>)	<span class="rafsi">cap</span>/<span class="rafsi">ckap</span>
blabi	white	gismu	x<sub>1</sub> is white/very-light colored [color adjective].	<span class="etymology-item"><span class="etymology-source-word">abiad</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">xuait</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">blank</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cvet</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">biel</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">bai</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">lei denci be le fetsi pu blabi</span> - <span class="example-eng">Her teeth were white.</span>		<span class="lojban-word">skari</span> (<span class="gloss">color</span>), <span class="lojban-word">xekri</span> (<span class="gloss">black</span>), <span class="lojban-word">grusi</span> (<span class="gloss">gray</span>), <span class="lojban-word">kandi</span> (<span class="gloss">dim</span>), <span class="lojban-word">manku</span> (<span class="gloss">dark</span>), <span class="lojban-word">carmi</span> (<span class="gloss">intense</span>), <span class="lojban-word">bakri</span> (<span class="gloss">chalk</span>), <span class="lojban-word">blanu</span> (<span class="gloss">blue</span>), <span class="lojban-word">bunre</span> (<span class="gloss">brown</span>), <span class="lojban-word">cicna</span> (<span class="gloss">cyan</span>), <span class="lojban-word">crino</span> (<span class="gloss">green</span>), <span class="lojban-word">narju</span> (<span class="gloss">orange</span>), <span class="lojban-word">nukni</span> (<span class="gloss">magenta</span>), <span class="lojban-word">pelxu</span> (<span class="gloss">yellow</span>), <span class="lojban-word">xunre</span> (<span class="gloss">red</span>), <span class="lojban-word">zirpu</span> (<span class="gloss">purple</span>)	<span class="rafsi">lab</span>/<span class="rafsi">blab</span>
ckiku	key	gismu	x<sub>1</sub> is a key fitting/releasing/opening/unlocking lock x<sub>2</sub>, and having relevant properties x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">mifta</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ki</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">iav</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kunji</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kliuc</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">iau</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">ti ckiku le xunre vorme i ma ckiku le jaspu be do</span> - <span class="example-eng">What is the password to your account?</span>	<span class="example-jbo">mi mo'u cirko le pe mi ckiku</span> - <span class="example-eng">I lost my keys.</span>	<span class="lojban-word">stela</span> (<span class="gloss">lock</span>)	<span class="rafsi">kik</span>/<span class="rafsi">ckik</span>
jalge	result	gismu	x<sub>1</sub> <span class="word-kind">(action/event/state)</font> is a result/outcome/conclusion of antecedent x<sub>2</sub> <span class="word-kind">(event/state/process)</font>.	<span class="etymology-item"><span class="etymology-source-word">najam</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">rizalt</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">result</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">pal</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">slietstvi</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">jiegue</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le mi'u snuti pu se jalge le nu le mi'u nakni pu na jundi</span> - <span class="example-eng">The accident happened because he hadn't been careful.</span>	<span class="example-jbo">le cizra pu jalge</span> - <span class="example-eng">There ensued something strange.</span>	<span class="lojban-word">se</span>, <span class="lojban-word">mukti</span> (<span class="gloss">motive</span>), <span class="lojban-word">te</span>, <span class="lojban-word">zukte</span> (<span class="gloss">act</span>), <span class="lojban-word">se</span>, <span class="lojban-word">rinka</span> (<span class="gloss">cause</span>), <span class="lojban-word">se</span>, <span class="lojban-word">krinu</span> (<span class="gloss">reason</span>), <span class="lojban-word">se</span>, <span class="lojban-word">nibli</span> (<span class="gloss">necessitate</span>), <span class="lojban-word">mulno</span> (<span class="gloss">complete</span>), <span class="lojban-word">sumji</span> (<span class="gloss">sum</span>), <span class="lojban-word">pilji</span> (<span class="gloss">multiply</span>), <span class="lojban-word">mekso</span> (<span class="gloss">MEX</span>), <span class="lojban-word">ja'e</span>, <span class="lojban-word">ciksi</span> (<span class="gloss">explain</span>)	<span class="rafsi">jag</span>/<span class="rafsi">ja'e</span>/<span class="rafsi">jalg</span>
canci	vanish	gismu	x<sub>1</sub> vanishes/disappears from location x<sub>2</sub>; x<sub>1</sub> ceases to be observed at x<sub>2</sub> using senses/sensor x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">tauara</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">vanic</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">desvanes</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">antargan</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">isciz</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cian</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">do canci le jvinu be fi mi</span> - <span class="example-eng">You disappeared from my view.</span>		<span class="lojban-word">cliva</span> (<span class="gloss">leave</span>), <span class="lojban-word">ganse</span> (<span class="gloss">feel</span>), <span class="lojban-word">zgana</span> (<span class="gloss">observe</span>), <span class="lojban-word">lebna</span> (<span class="gloss">gain</span>), <span class="lojban-word">vimcu</span> (<span class="gloss">delete</span>)	<span class="rafsi">canc</span>
dansu	dance	gismu	x<sub>1</sub> <span class="word-kind">(individual, mass)</font> dances to accompaniment/music/rhythm x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">rakas</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">dans</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">dans</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">nac</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">tans</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">uudau</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">e'u mi'o dansu le ca zgike</span> - <span class="example-eng">Let's dance to this music.</span>		<span class="lojban-word">bende</span> (<span class="gloss">association</span>), <span class="lojban-word">zgike</span> (<span class="gloss">music</span>), <span class="lojban-word">zajba</span> (<span class="gloss">gymnast</span>)	<span class="rafsi">dans</span>
zvati	at	gismu	x<sub>1</sub> <span class="word-kind">(object/event)</font> is at/attending/present at x<sub>2</sub> <span class="word-kind">(event/location)</font>.	<span class="etymology-item"><span class="etymology-source-word">xadir</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">at</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">asist</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">upastit</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">prisutstvav</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">zai</span>(<span class="etymology-lang">zh</span>)</span>				<span class="rafsi">zva</span>/<span class="rafsi">zvat</span>
prenu	people	gismu	x<sub>1</sub> is a person/people <span class="word-kind">(noun)</font> [not necessarily human]; x<sub>1</sub> displays personality/a persona.	<span class="etymology-item"><span class="etymology-source-word">caxs</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">prsn</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">person</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">puruc</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">pirson</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ren</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">xo prenu ca zvati le bu'u kumfa</span> - <span class="example-eng">How many people are in this room now?</span>		<span class="lojban-word">nanmu</span> (<span class="gloss">man</span>), <span class="lojban-word">ninmu</span> (<span class="gloss">woman</span>), <span class="lojban-word">remna</span> (<span class="gloss">human</span>), <span class="lojban-word">zukte</span> (<span class="gloss">act</span>), <span class="lojban-word">sevzi</span> (<span class="gloss">self</span>)	<span class="rafsi">pre</span>/<span class="rafsi">pren</span>
jalna	starch	gismu	x<sub>1</sub> is a quantity of/contains/is made of starch from source x<sub>2</sub> of composition including x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">naca</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">starc</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">almidon</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kalaf</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">kraxmal</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">jian</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">ta'i ma jukpa le rismi se pi'o nai le jalna</span> - <span class="example-eng">How to cook rice without starch?</span>		<span class="lojban-word">patlu</span> (<span class="gloss">potato</span>), <span class="lojban-word">samcu</span> (<span class="gloss">cassava</span>)	<span class="rafsi">jaln</span>
crida	demon	gismu	x<sub>1</sub> is a fairy/elf/gnome/brownie/pixie/goblin/kobold [mythical humanoid] of mythos/religion x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">marid</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">feri</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ada</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">pari</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">damav</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">cian</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">fi mi pu lisri pa da le za'u crida</span> - <span class="example-eng">I told a story about fairies.</span>		<span class="lojban-word">ranmi</span> (<span class="gloss">myth</span>), <span class="lojban-word">lijda</span> (<span class="gloss">religion</span>)	<span class="rafsi">rid</span>/<span class="rafsi">crid</span>
nivji	knit	gismu	x<sub>1</sub> <span class="word-kind">(agent)</font> knits x<sub>2</sub> [cloth/object] from yarn/thread x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">xakt</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">nit</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">tex</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">bun</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">viiz</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ji</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le mi'u nixli cu nivji pa creka le lanme sunla</span> - <span class="example-eng">The girl is knitting a sweater from fleece.</span>		<span class="lojban-word">cilta</span> (<span class="gloss">thread</span>), <span class="lojban-word">fenso</span> (<span class="gloss">sew</span>), <span class="lojban-word">jivbu</span> (<span class="gloss">weave</span>), <span class="lojban-word">pijne</span> (<span class="gloss">pin</span>)	<span class="rafsi">niv</span>/<span class="rafsi">nivj</span>
mluni	moon	gismu	x<sub>1</sub> is a satellite/moon orbiting x<sub>2</sub> with characteristics x<sub>3</sub>, orbital parameters x<sub>4</sub>.	<span class="etymology-item"><span class="etymology-source-word">kamar</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">mun</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">lun</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">upgrax</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">lunam</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ueicin</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">so'i da rutni mluni le mi'u terdi</span> - <span class="example-eng">There are many satellites orbiting the Earth.</span>		<span class="lojban-word">planeta</span>, <span class="lojban-word">solri</span> (<span class="gloss">solar</span>), <span class="lojban-word">lunra</span> (<span class="gloss">lunar</span>)	<span class="rafsi">lun</span>/<span class="rafsi">mlun</span>
merli	measure	gismu	x<sub>1</sub> <span class="word-kind">(agent)</font> measures/evaluates x<sub>2</sub> [quantity] as x<sub>3</sub> units on scale x<sub>4</sub> <span class="word-kind">(si'o)</font>, with accuracy x<sub>5</sub>.	<span class="etymology-item"><span class="etymology-source-word">kias</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">mejr</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">med</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">mapna</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">mier</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">lian</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">mi merli le mi'u jubme li pa le ka mitre vau li pi pa</span> - <span class="example-eng">I measured the length of the table as 1 meter with accuracy 0.1 meters.</span>		<span class="lojban-word">kancu</span> (<span class="gloss">count</span>), <span class="lojban-word">rupnu</span> (<span class="gloss">dollar</span>), <span class="lojban-word">fepni</span> (<span class="gloss">cent</span>), <span class="lojban-word">dekpu</span> (<span class="gloss">gallon</span>), <span class="lojban-word">jmagutci</span>, <span class="lojban-word">minli</span> (<span class="gloss">mile</span>), <span class="lojban-word">bunda</span> (<span class="gloss">pound</span>), <span class="lojban-word">ckilu</span> (<span class="gloss">scale</span>), <span class="lojban-word">gradu</span> (<span class="gloss">degree</span>), <span class="lojban-word">satci</span> (<span class="gloss">exact</span>), <span class="lojban-word">cimde</span> (<span class="gloss">dimension</span>), <span class="lojban-word">kramu</span> (<span class="gloss">acre</span>), <span class="lojban-word">manri</span> (<span class="gloss">reference</span>), <span class="lojban-word">centi</span> (<span class="gloss">.01</span>)	<span class="rafsi">mre</span>/<span class="rafsi">merl</span>
simxu	mutual	gismu	x<sub>1</sub> <span class="word-kind">(set)</font> has members who mutually/reciprocally x<sub>2</sub> <span class="word-kind">(event [x<sub>1</sub> should be reflexive in 1+ sumti])</font>.	<span class="etymology-item"><span class="etymology-source-word">muctarak</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">miucul</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">resiprok</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">apsi</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">vzaimn</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">xu</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">do jo'u mi simxu le ka prami</span> - <span class="example-eng">You and I love each other.</span>		<span class="lojban-word">kampu</span> (<span class="gloss">common</span>), <span class="lojban-word">mintu</span> (<span class="gloss">same</span>)	<span class="rafsi">sim</span>/<span class="rafsi">si'u</span>/<span class="rafsi">simx</span>
tuple	leg	gismu	x<sub>1</sub> is a/the leg [body-part] of x<sub>2</sub>; [metaphor: supporting branch].	<span class="etymology-item"><span class="etymology-source-word">rijl</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">leg</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">piern</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">tang</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">naga</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">tuei</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">je'u ma'a se tuple vo da</span> - <span class="example-eng">We actually have four legs.</span>		<span class="lojban-word">stani</span> (<span class="gloss">stalk</span>), <span class="lojban-word">zbepi</span> (<span class="gloss">pedestal</span>), <span class="lojban-word">jamfu</span> (<span class="gloss">foot</span>), <span class="lojban-word">jimca</span> (<span class="gloss">branch</span>), <span class="lojban-word">sanli</span> (<span class="gloss">stand</span>)	<span class="rafsi">tup</span>/<span class="rafsi">tu'e</span>/<span class="rafsi">tupl</span>
pruce	course	gismu	x<sub>1</sub> is a process with inputs x<sub>2</sub>, outputs/results x<sub>3</sub>, passing through steps/stages x<sub>4</sub>.	<span class="etymology-item"><span class="etymology-source-word">sairur</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">prases</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">proses</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">prakram</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">pratsies</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">guecen</span>(<span class="etymology-lang">zh</span>)</span>			<span class="lojban-word">farvi</span> (<span class="gloss">develop</span>), <span class="lojban-word">tadji</span> (<span class="gloss">method</span>), <span class="lojban-word">grute</span> (<span class="gloss">fruit</span>), <span class="lojban-word">tcini</span> (<span class="gloss">condition</span>)	<span class="rafsi">ruc</span>/<span class="rafsi">ru'e</span>/<span class="rafsi">pruc</span>
molro	mole	gismu	x<sub>1</sub> is x<sub>2</sub> mole<span class="word-kind">(s)</font> [metric unit] in substance <span class="word-kind">(default is 1)</font> by standard x<sub>3</sub>.		<span class="example-jbo">le tabno poi grake li pa re cu molro li pa</span> - <span class="example-eng">12 grams of carbon is one mole in amount.</span>		<span class="lojban-word">centi</span> (<span class="gloss">.01</span>)	<span class="rafsi">mo'o</span>/<span class="rafsi">molr</span>
pezli	leaf	gismu	x<sub>1</sub> is a leaf of plant x<sub>2</sub>; x<sub>1</sub> is foliage of x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">uarak</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">lif</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ox</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">patr</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">list</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">iez</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le pezli be le tricu co'a pelxu ca le critu</span> - <span class="example-eng">Leaves of tress become yellow in the autumn.</span>		<span class="lojban-word">tricu</span> (<span class="gloss">tree</span>), <span class="lojban-word">papri</span> (<span class="gloss">page</span>), <span class="lojban-word">spati</span> (<span class="gloss">plant</span>)	<span class="rafsi">pez</span>/<span class="rafsi">pezl</span>
matli	linen	gismu	x<sub>1</sub> is a quantity of/contains/is made of linen/flax [type of fabric/material].	<span class="etymology-item"><span class="etymology-source-word">katan</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">linen</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">lin</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">calti</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">lion</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ma</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">ti noi creka cu matli</span> - <span class="example-eng">This shirt is linen.</span>		<span class="lojban-word">bukpu</span> (<span class="gloss">cloth</span>)	<span class="rafsi">matl</span>
sorgu	sorghum	gismu	x<sub>1</sub> is a quantity of sorghum of species/strain x<sub>2</sub>.	<span class="etymology-item"><span class="etymology-source-word">*</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">*</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">*</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">*</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">*</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">*</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">ra pu jai gau farvi fai le sorgu te zu'e le ka jai gau citka le jipci</span> - <span class="example-eng">He was growing sorghum to feed chickens.</span>		<span class="lojban-word">gurni</span> (<span class="gloss">grain</span>)	<span class="rafsi">sog</span>/<span class="rafsi">sorg</span>
tinci	tin	gismu	x<sub>1</sub> is a quantity of/contains/is made of tin <span class="word-kind">(Sn)</font>; [metaphor: cheap or base metal].	<span class="etymology-item"><span class="etymology-source-word">tanak</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">tin</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">estan</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">tin</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">olav</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">ci</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le mi'u tanxe cu marji le tinci</span> - <span class="example-eng">The box is made of tin.</span>		<span class="lojban-word">lante</span> (<span class="gloss">can</span>), <span class="lojban-word">boxfo</span> (<span class="gloss">sheet</span>), <span class="lojban-word">cnisa</span> (<span class="gloss">lead</span>), <span class="lojban-word">jinme</span> (<span class="gloss">metal</span>)	<span class="rafsi">tinc</span>
mupli	example	gismu	x<sub>1</sub> is an example/sample/specimen/instance/case/illustration of common property<span class="word-kind">(s)</font> x<sub>2</sub> of set x<sub>3</sub>.	<span class="etymology-item"><span class="etymology-source-word">namudaj</span>(<span class="etymology-lang">ar</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">igzampl</span>(<span class="etymology-lang">en</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">exempl</span>(<span class="etymology-lang">es</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">damuna</span>(<span class="etymology-lang">hi</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">primier</span>(<span class="etymology-lang">ru</span>)</span>, <span class="etymology-item"><span class="etymology-source-word">li</span>(<span class="etymology-lang">zh</span>)</span>	<span class="example-jbo">le danlu pendo pe mi cu mupli le ka ca da co'a morsi vau le'i mabru</span> - <span class="example-eng">My pet is an example that at one point all mammals die.</span>		<span class="lojban-word">pixra</span> (<span class="gloss">picture</span>)	<span class="rafsi">mup</span>/<span class="rafsi">mupl</span>
